id_genre,genre
0,Strategy
1,Action
2,Adventure
3,Casual
4,Indie
5,Free to Play
6,Massively Multiplayer
7,RPG
8,Simulation
9,Racing
10,Sports
11,Animation & Modeling
12,Design & Illustration
13,Photo Editing
14,Utilities
15,Early Access
16,Education
17,Software Training
18,Web Publishing
19,Audio Production
20,Video Production
21,Action Games
22,Game Development
23,Violent
24,Gore
25,Accounting
26,Movie
27,Documentary
28,Episodic
29,Short
30,Tutorial
31,360 V
32,Nudity
33,Sexual Content
34,360 Video
