id_tag,tag
0,Strategy
1,Stealth
2,Action
3,Co-op
4,Third Person
5,Multiplayer
6,Singleplayer
7,Shooter
8,Adventure
9,Tactical
10,Third-Person Shooter
11,Online Co-Op
12,Parkour
13,FPS
14,Story Rich
15,Controller
16,Atmospheric
17,First-Person
18,RPG
19,Mature
20,Board Game
21,Tabletop
22,Casual
23,Indie
24,Turn-Based
25,Fantasy
26,Local Multiplayer
27,Family Friendly
28,Asynchronous Multiplayer
29,4 Player Local
30,Touch-Friendly
31,2D
32,Satire
33,Kickstarter
34,PvP
35,Crafting
36,Difficult
37,Turn-Based Strategy
38,Retro
39,Hex Grid
40,4X
41,Puzzle
42,Tower Defense
43,Pixel Graphics
44,Mod
45,Free to Play
46,Sci-fi
47,Horror
48,Survival
49,Music
50,Rhythm
51,Music-Based Procedural Generation
52,Moddable
53,Arcade
54,Racing
55,Great Soundtrack
56,Mouse only
57,Local Co-Op
58,Procedural Generation
59,Colorful
60,Platformer
61,Massively Multiplayer
62,Simulation
63,Robots
64,Puzzle-Platformer
65,Level Editor
66,Metroidvania
67,Beat 'em up
68,Hack and Slash
69,Exploration
70,Beautiful
71,Side Scroller
72,Anime
73,Action RPG
74,Space
75,Grand Strategy
76,Turn-Based Tactics
77,Open World
78,Turn-Based Combat
79,Space Sim
80,Spaceships
81,Trading
82,Futuristic
83,Flight
84,Tactical RPG
85,3D
86,Destruction
87,Science
88,Cats
89,Dragons
90,Surreal
91,Top-Down
92,Philosophical
93,Nonlinear
94,Abstract
95,Dark
96,Action-Adventure
97,Choose Your Own Adventure
98,Choices Matter
99,Female Protagonist
100,Multiple Endings
101,Interactive Fiction
102,Based On A Novel
103,Point & Click
104,Narration
105,Thriller
106,Dinosaurs
107,Ninja
108,Reboot
109,2.5D
110,Classic
111,Remake
112,Fast-Paced
113,Cyberpunk
114,Isometric
115,Aliens
116,Replay Value
117,PvE
118,RTS
119,Real-Time with Pause
120,Time Travel
121,War
122,Wargame
123,Real-Time
124,Card Game
125,Steampunk
126,Funny
127,Loot
128,Strategy RPG
129,World War II
130,Military
131,Real Time Tactics
132,Historical
133,Tanks
134,Competitive
135,Early Access
136,Realistic
137,Spectacle fighter
