id_genre,genre
0,Action
1,Adventure
2,Simulation
3,Web Publishing
4,RPG
5,Indie
6,Sports
7,Strategy
8,Free to Play
9,Casual
10,Early Access
11,Design & Illustration
12,Education
13,Game Development
14,Massively Multiplayer
15,Racing
16,Animation & Modeling
17,Audio Production
18,Video Production
19,Software Training
20,Utilities
21,Photo Editing
22,Accounting
23,Action Games
24,Movie
25,Documentary
26,Episodic
27,Short
28,Tutorial
29,360 V
30,Violent
31,Gore
32,Sexual Content
33,Nudity
34,360 Video
